Brand,Name,Availability,Description,Details,Over Category,Subcategory,ID,Related IDs,Images,Meta Title,Meta Description,Artikel Nummer
Pippi Långstrump,Kvällsbestyr-bäddset,Finns Lager,"<div>Ett vitt bäddset med roliga, gula ränder och fina, färgglada Pippi Långstrump-motiv. Påslakanets storlek är 150 x 210 cm och örngottet är 50 x 60 cm. 100% bomull. Maskintvätt 60 grader. Öko-tex.</div>","Produktinformation_Art._nummer_73100076,Produktinformation_Färg_Vit, gul,Produktinformation_Material_100 % bomull,Produktinformation_Skötsel_Maskintvätt 60 °C, tvättas med liknande färger,Produktinformation_Vikt_0,9 kg,Produktinformation_EAN_6416845067636",Hemtextiler,Sängkläder,73100076,"73100075,73099355","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100076_01_webstore_cmytra.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100076_02_webstore_icd5il.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100076_03_webstore_o17kf8.jpg?_i=AB",Pippi Långstrump Kvällsbestyr-bäddset | NordicDetails.se,"Ett vitt bäddset med roliga, gula ränder och fina, färgglada Pippi Långstrump-motiv. Påslakanets storlek är 150 x 210 cm och örngottet är 50 x 60 cm. 100% bomull. Maskintvätt 60 grader. Öko-tex. ",73100076
Pippi Långstrump,Veranda-örngott,Finns Lager,"<div>Ett vitt örngott med tunna gula ränder och en stor, färgglad bild av Pippi Långstrump som kliver ned för verandratrappan bärandes på Lilla Gubben. 100% bomull. Maskintvätt 60 grader. Öko-tex.</div>","Produktinformation_Art._nummer_73100075,Produktinformation_Material_100 % bomull,Produktinformation_Skötsel_Maskintvätt 60 °C,Produktinformation_Mått_60 x 50 cm,Produktinformation_Vikt_0,1 kg,Produktinformation_EAN_6416845067629",Hemtextiler,Sängkläder,73100075,"73100076,73099355","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100075_01_webstore_zg5irg.jpg?_i=AB",Pippi Långstrump Veranda-örngott | NordicDetails.se,"Ett vitt örngott med tunna gula ränder och en stor, färgglad bild av Pippi Långstrump som kliver ned för verandratrappan bärandes på Lilla Gubben. 100% bomull. Maskintvätt 60 grader. Öko-tex.",73100075
Ma-ia Family,Pilkku-filt grön,Finns Lager,"<div>Söta drömmar och god morgonUnder Pilkku-filten är det en glädje att somna, för filten är nämligen molnmjuk och sammetslen på båda sidor. Den ena sidan är prickig och milt olivgrön, medan den andra sidan är benvit. Så hur man än vrider och vänder på den utlovas söta drömmar. Ja, och en bättre morgondag samtidigt – materialet är återvunnen polyester. Öko-tex.</div>","Produktinformation_Art._nummer_71200547,Produktinformation_Färg_Grön,Produktinformation_Material_100 % återvunnen polyester,Produktinformation_Mått_75 x 100 cm,Produktinformation_Vikt_0,4 kg,Produktinformation_EAN_6416844986501,Produktinformation_Ursprungsland_Turkiet",Hemtextiler,Sängkläder,71200547,71200546,"https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200547_02_aw3vy5.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200547_01_vak1q7.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200547_03_zwoojt.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200547_06_webstore_wcmkaf.jpg?_i=AB",Ma-ia Family Pilkku-filt grön | NordicDetails.se,"Söta drömmar och god morgon Under Pilkku-filten är det en glädje att somna, för filten är nämligen molnmjuk och sammetslen på båda sidor. Den ena sidan är prickig och milt olivgrön, medan den andra sidan är benvit. Så hur man än vrider och vänder på den u",71200547
Ma-ia Family,Orvokki-filt ros,Finns Lager,"<div>Söta drömmar och god morgonUnder Orvokki-filten är det en glädje att somna, för filten är nämligen molnmjuk och sammetslen på båda sidor. Filtens ena sida är dekorerad med äventyrliga kaniner, fjärilar och fina blommor, medan den andra sidan är sockersöt i rosa. Så hur man än vrider och vänder på den utlovas söta drömmar. Ja, och en bättre morgondag samtidigt – materialet är återvunnen polyester. Öko-tex.</div>","Produktinformation_Art._nummer_71200546,Produktinformation_Färg_Rosa,Produktinformation_Material_100 % återvunnen polyester,Produktinformation_Mått_75 x 100 cm,Produktinformation_Vikt_0,4 kg,Produktinformation_EAN_6416844986495,Produktinformation_Ursprungsland_Turkiet",Hemtextiler,Sängkläder,71200546,71200547,"https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200546_02_btqpj0.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200546_03_o3kvys.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7120%20MA-IA%20TEKSTIILI/71200546_01_vfnihp.jpg?_i=AB",Ma-ia Family Orvokki-filt ros | NordicDetails.se,"Söta drömmar och god morgon Under Orvokki-filten är det en glädje att somna, för filten är nämligen molnmjuk och sammetslen på båda sidor. Filtens ena sida är dekorerad med äventyrliga kaniner, fjärilar och fina blommor, medan den andra sidan är sockersöt",71200546
Pippi Långstrump,Villekulla-badponcho,Finns Lager,"<div>En skön och praktisk badponcho i klara färger, helmönstrad med Villa Villekulla, Pippi Långstrump och Lilla Gubben framtill. Badponchon har huva och den är 60 x 60 cm stor. 100% bomullsvelour 300 gsm. Maskintvätt 60 °C, tål torktumling. Öko-tex.</div>","Produktinformation_Art._nummer_73099355,Produktinformation_Material_100 % bomull (velour 300 gsm),Produktinformation_Skötsel_Tvätta före användning, tvättas med liknande färger. 60 °C, torktumling.,Produktinformation_Mått_60 x 60 cm,Produktinformation_Vikt_0,28 kg,Produktinformation_EAN_6416845017570,Produktinformation_Ursprungsland_Kina",Hemtextiler,Handdukar,73099355,,"https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73099355_01_mlz2dg.jpg?_i=AB",Pippi Långstrump Villekulla-badponcho | NordicDetails.se,"En skön och praktisk badponcho i klara färger, helmönstrad med Villa Villekulla, Pippi Långstrump och Lilla Gubben framtill. Badponchon har huva och den är 60 x 60 cm stor. 100% bomullsvelour 300 gsm. Maskintvätt 60 °C, tål torktumling. Öko-tex.",73099355
Mumin,Trädkrona-badponcho gul,Finns Lager,<div>No Description Available</div>,"Produktinformation_Art._nummer_72579362,Produktinformation_Färg_Gul,Produktinformation_Material_100 % bomull,Produktinformation_Skötsel_Tvätta före användning, tvättas med liknande färger. 60 °C, torktumling.,Produktinformation_Mått_60 x 60 cm,Produktinformation_Vikt_0,4 kg,Produktinformation_EAN_6416845043494,Produktinformation_Ursprungsland_Kina",Hemtextiler,Handdukar,72579362,,"https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7200%20MUUMI%20TEKSTIILI%20LAPSET/C-72579362_01_webstore_yafl7y.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7200%20MUUMI%20TEKSTIILI%20LAPSET/C-72579362_02_webstore_ee97mq.jpg?_i=AB",Mumin Trädkrona-badponcho gul | NordicDetails.se,No Meta Description Available,72579362
Pippi Långstrump,Snedrand-badhandduk,Ej Lager,"<div>Roligt snedrandig och färgglad badhandduk 70 x 140 cm, med den starka Pippi Långstrump som bär omkring på sin prickiga häst Lilla Gubben. Materialet är mjuk bomullsvelour med hög uppsugningsförmåga. 100% bomull.  Maskintvätt 40 grader. Öko-tex.</div>","Produktinformation_Art._nummer_73100077,Produktinformation_Material_100 % bomull,Produktinformation_Skötsel_40 °C – Tvättas med liknande färger, vänd ut och in inför tvätt, stryk på avigsidan,Produktinformation_Mått_140 x 70 cm,Produktinformation_Vikt_0,35 kg,Produktinformation_EAN_6416844121742,Produktinformation_Ursprungsland_Kina",Hemtextiler,Handdukar,73100077,"73100076,73100075,73099355,61460048","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100077_01_webstore_ygp02t.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/7310%20PIPPI%20TEKSTIILI/73100077_02_webstore_wqkb4b.jpg?_i=AB",Pippi Långstrump Snedrand-badhandduk | NordicDetails.se,"Roligt snedrandig och färgglad badhandduk 70 x 140 cm, med den starka Pippi Långstrump som bär omkring på sin prickiga häst Lilla Gubben. Materialet är mjuk bomullsvelour med hög uppsugningsförmåga. 100% bomull.  Maskintvätt 40 grader. Öko-tex.",73100077
Mumin,Tranbär-teburk,Finns Lager,<div>En teburk som dekoreras av ett roligt och intensivt färgglatt tranbärsmotiv med Lilla My här och där. Burken är tillverkad i plåt och den har ett lufttätt lock med spännlås. Handdisk och noggrann torkning.</div>,"Produktinformation_Art._nummer_61256288,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,17 kg,Produktinformation_EAN_6416550228667",Förvara,Plåtburkar,61256288,"61256287,61256285,61256283,61256280,61256282,61256284","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256288_01_webstore_qdsohf.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256288_02_webstore_v8iedb.jpg?_i=AB",Mumin Tranbär-teburk | NordicDetails.se,En teburk som dekoreras av ett roligt och intensivt färgglatt tranbärsmotiv med Lilla My här och där. Burken är tillverkad i plåt och den har ett lufttätt lock med spännlås. Handdisk och noggrann torkning.,61256288
Mumin,Tranbär-kaffeburk,Finns Lager,<div>En kaffeburk som dekoreras av ett roligt och intensivt färgglatt tranbärsmotiv med Lilla My här och där. Kaffeburken har ett lufttätt lock med spännlås. Rymmer ett 500 grams kaffepaket. Handdisk och noggrann torkning.</div>,"Produktinformation_Art._nummer_61256287,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,225 kg,Produktinformation_EAN_6416550228650",Förvara,Plåtburkar,61256287,"61256288,61256286,61256285,61256283,61256284,61256282,61256280","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256287_01_webstore_yzisbh.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256287_02_webstore_k2nymo.jpg?_i=AB",Mumin Tranbär-kaffeburk | NordicDetails.se,En kaffeburk som dekoreras av ett roligt och intensivt färgglatt tranbärsmotiv med Lilla My här och där. Kaffeburken har ett lufttätt lock med spännlås. Rymmer ett 500 grams kaffepaket. Handdisk och noggrann torkning.,61256287
Mumin,Trädkrona-kaffefilterburk orange,Finns Lager,<div>En praktisk plåtburk för förvaring av kaffefilter. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta Trädkrona-motiv i orange nyanser. Handdisk och noggrann torkning.</div>,"Produktinformation_Art._nummer_61256285,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,18 kg,Produktinformation_EAN_6416550228636",Förvara,Plåtburkar,61256285,"61256280,61256282,61256283,61256284,61256286,61256287,61256288","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256285_01_webstore_z3aj6x.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256285_02_webstore_quhssd.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256285_03_webstore_gjfoxp.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256285_05_webstore_ycwvf4.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256285_06_webstore_mujq2p.jpg?_i=AB",Mumin Trädkrona-kaffefilterburk orange | NordicDetails.se,En praktisk plåtburk för förvaring av kaffefilter. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta Trädkrona-motiv i orange nyanser. Handdisk och noggrann torkning.,61256285
Mumin,Trädkrona-kaffeburk orange,Ej Lager,<div>En kaffeburk som dekoreras av ett Mumin Trädkrona-motiv i orange nyanser. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta motiv. Kaffeburken har ett lufttätt lock och spännlås. Rymmer ett 500 grams kaffepaket. Handdisk och noggrann torkning.</div>,"Produktinformation_Art._nummer_61256281,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,225 kg,Produktinformation_EAN_6416550228612",Förvara,Plåtburkar,61256281,,"https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256281_02_webstore_omswwr.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256281_03_webstore_eajyei.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256281_01_webstore_tgx9qz.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256281_05_webstore_yaizhi.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256281_06_webstore_zy6ruw.jpg?_i=AB",Mumin Trädkrona-kaffeburk orange | NordicDetails.se,En kaffeburk som dekoreras av ett Mumin Trädkrona-motiv i orange nyanser. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta motiv. Kaffeburken har ett lufttätt lock och spännlås. Rymmer ett 500 grams kaffepaket. Handdisk och noggran,61256281
Mumin,Trädkrona-teburk orange,Finns Lager,<div>En teburk som dekoreras av ett Mumin Trädkrona-motiv i orange nyanser. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta motiv. Teburken har ett lufttätt lock och spännlås. Handdisk och noggrann torkning.</div>,"Produktinformation_Art._nummer_61256283,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,17 kg,Produktinformation_EAN_6416550228629",Förvara,Plåtburkar,61256283,"61256282,61256284,61256285,61256280,61256286,61256287,61256288","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256283_01_webstore_a9d6pk.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256283_03_webstore_vaexmp.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256283_02_webstore_zfi0el.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256283_05_webstore_taorux.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256283_06_webstore_tfenjb.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256283_07_webstore_jeajhp.jpg?_i=AB",Mumin Trädkrona-teburk orange | NordicDetails.se,En teburk som dekoreras av ett Mumin Trädkrona-motiv i orange nyanser. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta motiv. Teburken har ett lufttätt lock och spännlås. Handdisk och noggrann torkning.,61256283
Mumin,Trädkrona-burk fyrk. blåg,Finns Lager,<div>En kvadratisk kaffeburk som dekoreras av ett Mumin Trädkrona-motiv i blågröna nyanser. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta motiv. Plåtburken har ett gångjärnslock. Handdisk och noggrann torkning.</div>,"Produktinformation_Art._nummer_61256284,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,17 kg,Produktinformation_EAN_6416550228605",Förvara,Plåtburkar,61256284,"61256280,61256282,61256283,61256285,61256286,61256287,61256288","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256284_01_webstore_qeakvj.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256284_03_webstore_nrhatc.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256284_02_webstore_s8eamy.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256284_05_webstore_jtw1rq.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256284_06_webstore_jlmud3.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256284_07_webstore_xgv58j.jpg?_i=AB",Mumin Trädkrona-burk fyrk. blåg | NordicDetails.se,En kvadratisk kaffeburk som dekoreras av ett Mumin Trädkrona-motiv i blågröna nyanser. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta motiv. Plåtburken har ett gångjärnslock. Handdisk och noggrann torkning.,61256284
Mumin,Trädkrona-kaffeburk blågrön,Finns Lager,<div>En kaffeburk som dekoreras av ett Mumin Trädkrona-motiv i blågröna nyanser. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta motiv. Kaffeburken har ett lufttätt lock och spännlås. Rymmer ett 500 grams kaffepaket. Handdisk och noggrann torkning.</div>,"Produktinformation_Art._nummer_61256280,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,225 kg,Produktinformation_EAN_6416550228582",Förvara,Plåtburkar,61256280,"61256282,61256283,61256284,61256285,61256286,61256287,61256288","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256280_01_webstore_quw0qa.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256280_03_webstore_tcptvl.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256280_02_webstore_pniade.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256280_05_webstore_ygobdw.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256280_06_webstore_zts2zb.jpg?_i=AB",Mumin Trädkrona-kaffeburk blågrön | NordicDetails.se,En kaffeburk som dekoreras av ett Mumin Trädkrona-motiv i blågröna nyanser. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta motiv. Kaffeburken har ett lufttätt lock och spännlås. Rymmer ett 500 grams kaffepaket. Handdisk och noggr,61256280
Mumin,Trädkrona-teburk blågrön,Finns Lager,<div>En teburk som dekoreras av ett Mumin Trädkrona-motiv i blågröna nyanser. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta motiv. Teburken har ett lufttätt lock och spännlås. Handdisk och noggrann torkning.</div>,"Produktinformation_Art._nummer_61256282,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,17 kg,Produktinformation_EAN_6416550228599",Förvara,Plåtburkar,61256282,"61256280,61256283,61256284,61256285,61256286,61256287,61256288","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256282_01_webstore_eywxk3.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256282_03_webstore_ttirfj.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256282_02_webstore_elze7i.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256282_05_webstore_td0evh.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256282_06_webstore_xcybmn.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256282_07_webstore_it0gpr.jpg?_i=AB",Mumin Trädkrona-teburk blågrön | NordicDetails.se,En teburk som dekoreras av ett Mumin Trädkrona-motiv i blågröna nyanser. Välbekanta muminfigurer kikar fram bland trädtopparna i djungeln i detta motiv. Teburken har ett lufttätt lock och spännlås. Handdisk och noggrann torkning.,61256282
Mumin,Jublande-plåtburk rund,Finns Lager,"<div>En rund, liten plåtburk med juligt muminmotiv, perfekt att ge bort i present till en vän. Burken kan t.ex. fyllas med godis eller en liten present. Handdisk och noggrann torkning.</div>","Produktinformation_Art._nummer_61256293,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Vikt_0,155 kg,Produktinformation_EAN_6416550228797",Förvara,Plåtburkar,61256293,"61256290,61256296,61256292,61256287,61256288,61256285,61256283,61256280,61256282,61256284","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256293_01_webstore_d2nfsd.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256293_03_webstore_zhavqu.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256293_02_webstore_z1mqhl.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256293_08_webstore_sjemvr.jpg?_i=AB",Mumin Jublande-plåtburk rund | NordicDetails.se,"En rund, liten plåtburk med juligt muminmotiv, perfekt att ge bort i present till en vän. Burken kan t.ex. fyllas med godis eller en liten present. Handdisk och noggrann torkning.",61256293
Mumin,Smörblomma avlång burk vit,Ej Lager,"<div>En rektangulär, avlång plåtburk i vitt,  som dekoreras av ett pastellfärgat Mumin Smörblomma-motiv, där välbekanta muminfigurer sitter på en äng bland vackra blommor. Perfekt att använda som knäckebrödsburk eller till förvaring i hemmet. Plåtburken har ett löstagbart lock. Handdisk och noggrann torkning.</div>","Produktinformation_Art._nummer_61256269,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Mått_15 x 14 x 9 cm,Produktinformation_Vikt_0,23 kg,Produktinformation_EAN_6416550227646,Produktinformation_Ursprungsland_Kina",Inreda,Bruksföremål,61256269,61256263,"https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256269_01_webstore_hxgl6b.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256269_02_webstore_nlzagd.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256269_03_webstore_fmmdxv.jpg?_i=AB",Mumin Smörblomma avlång burk vit | NordicDetails.se,"En rektangulär, avlång plåtburk i vitt,  som dekoreras av ett pastellfärgat Mumin Smörblomma-motiv, där välbekanta muminfigurer sitter på en äng bland vackra blommor. Perfekt att använda som knäckebrödsburk eller till förvaring i hemmet. Plåtburken har et",61256269
Mumin,Smörblomma kaffeburk grön,Ej Lager,"<div>En kaffeburk som dekoreras av ett Mumin Smörblomma-motiv i ljust grågröna nyanser, där välbekanta muminfigurer sitter på en äng bland färgglada blommor. Kaffeburken har ett tätt lock och spännlås. Rymmer ett avlångt 500 grams kaffepaket. Handdisk och noggrann torkning.</div>","Produktinformation_Art._nummer_61256265,Produktinformation_Material_Plåt,Produktinformation_Skötsel_Handdisk och noggrann torkning,Produktinformation_Mått_15 x 20 x 8 cm,Produktinformation_Vikt_0,225 kg,Produktinformation_EAN_6416550227608,Produktinformation_Ursprungsland_Kina",Förvara,Plåtburkar,61256265,"61256269,61256270,61256263","https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256265_01_webstore_rezh16.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/webstore/6120%20MUUMI%20TALOUS/61256265_02_webstore_ci3coa.jpg?_i=AB, https://res.cloudinary.com/martinex/image/upload/c_lpad,dpr_2.0,f_auto,q_auto/v1/media/wysiwyg/61256265_05_webstore_tolhvq.jpg?_i=AB",Mumin Smörblomma kaffeburk grön | NordicDetails.se,"En kaffeburk som dekoreras av ett Mumin Smörblomma-motiv i ljust grågröna nyanser, där välbekanta muminfigurer sitter på en äng bland färgglada blommor. Kaffeburken har ett tätt lock och spännlås. Rymmer ett avlångt 500 grams kaffepaket. Handdisk och nogg",61256265
